id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
H4jJ7XB3CetIr1pg56CczQ,levain-bakery-new-york,Levain Bakery,https://s3-media2.fl.yelpcdn.com/bphoto/zgjSt_RGjXQMJxYxYSo-bQ/o.jpg,False,https://www.yelp.com/biz/levain-bakery-new-york?adjust_creative=OJeUxoKF_oD4FLEYuIdDbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OJeUxoKF_oD4FLEYuIdDbg,7932,"[{'alias': 'bakeries', 'title': 'Bakeries'}]",4.5,"{'latitude': 40.7799404643263, 'longitude': -73.980282552649}",[],$$,"{'address1': '167 W 74th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10023', 'country': 'US', 'state': 'NY', 'display_address': ['167 W 74th St', 'New York, NY 10023']}",+19174643769,(917) 464-3769,2198.5076771002746
xEnNFXtMLDF5kZDxfaCJgA,the-halal-guys-new-york-2,The Halal Guys,https://s3-media1.fl.yelpcdn.com/bphoto/24lb-VP2zVySsY9cq45ETw/o.jpg,False,https://www.yelp.com/biz/the-halal-guys-new-york-2?adjust_creative=OJeUxoKF_oD4FLEYuIdDbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OJeUxoKF_oD4FLEYuIdDbg,9297,"[{'alias': 'foodstands', 'title': 'Food Stands'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'halal', 'title': 'Halal'}]",4.0,"{'latitude': 40.761854, 'longitude': -73.979363}",[],$,"{'address1': 'W 53rd St 6th Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['W 53rd St 6th Ave', 'New York, NY 10019']}",,,196.20559938550173
44SY464xDHbvOcjDzRbKkQ,ippudo-ny-new-york-7,Ippudo NY,https://s3-media1.fl.yelpcdn.com/bphoto/zF3EgqHCk7zBUwD2B3WTEA/o.jpg,False,https://www.yelp.com/biz/ippudo-ny-new-york-7?adjust_creative=OJeUxoKF_oD4FLEYuIdDbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OJeUxoKF_oD4FLEYuIdDbg,9949,"[{'alias': 'ramen', 'title': 'Ramen'}]",4.0,"{'latitude': 40.73092, 'longitude': -73.99015}","['delivery', 'pickup']",$$,"{'address1': '65 4th Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['65 4th Ave', 'New York, NY 10003']}",,,3402.9126618700434
V7lXZKBDzScDeGB8JmnzSA,katzs-delicatessen-new-york,Katz's Delicatessen,https://s3-media1.fl.yelpcdn.com/bphoto/B6xNx79cSE7bFxqERBYOhg/o.jpg,False,https://www.yelp.com/biz/katzs-delicatessen-new-york?adjust_creative=OJeUxoKF_oD4FLEYuIdDbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OJeUxoKF_oD4FLEYuIdDbg,12109,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'catering', 'title': 'Caterers'}]",4.0,"{'latitude': 40.722237, 'longitude': -73.98743}","['delivery', 'pickup']",$$,"{'address1': '205 E Houston St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['205 E Houston St', 'New York, NY 10003']}",+12122542246,(212) 254-2246,4289.433759532139
jVncyqXwlx_D9f2xZn05tg,the-metropolitan-museum-of-art-new-york-3,The Metropolitan Museum of Art,https://s3-media2.fl.yelpcdn.com/bphoto/lHEKQRcbGaaEQfVO2P3AMw/o.jpg,False,https://www.yelp.com/biz/the-metropolitan-museum-of-art-new-york-3?adjust_creative=OJeUxoKF_oD4FLEYuIdDbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OJeUxoKF_oD4FLEYuIdDbg,2838,"[{'alias': 'artmuseums', 'title': 'Art Museums'}]",4.5,"{'latitude': 40.779449, 'longitude': -73.963245}",[],,"{'address1': '1000 5th Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10028', 'country': 'US', 'state': 'NY', 'display_address': ['1000 5th Ave', 'New York, NY 10028']}",+12125357710,(212) 535-7710,2494.912990674423
xOw4aafJRji9XomGunlvcQ,central-park-new-york,Central Park,https://s3-media2.fl.yelpcdn.com/bphoto/ru79-OUEcTI2_yVQqZBTjQ/o.jpg,False,https://www.yelp.com/biz/central-park-new-york?adjust_creative=OJeUxoKF_oD4FLEYuIdDbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OJeUxoKF_oD4FLEYuIdDbg,2402,"[{'alias': 'parks', 'title': 'Parks'}]",5.0,"{'latitude': 40.782418740809, 'longitude': -73.9656022837641}",[],,"{'address1': '14 E 60th St', 'address2': '', 'address3': 'Central Park Conservancy', 'city': 'New York', 'zip_code': '10022', 'country': 'US', 'state': 'NY', 'display_address': ['14 E 60th St', 'Central Park Conservancy', 'New York, NY 10022']}",+12123106600,(212) 310-6600,2697.302510967316
WHRHK3S1mQc3PmhwsGRvbw,bibble-and-sip-new-york-2,Bibble & Sip,https://s3-media2.fl.yelpcdn.com/bphoto/jf84Chsb5Ng76BdwMgLZsw/o.jpg,False,https://www.yelp.com/biz/bibble-and-sip-new-york-2?adjust_creative=OJeUxoKF_oD4FLEYuIdDbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OJeUxoKF_oD4FLEYuIdDbg,4747,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}]",4.5,"{'latitude': 40.76282, 'longitude': -73.98518}",[],$,"{'address1': '253 W 51st St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['253 W 51st St', 'New York, NY 10019']}",+16466495116,(646) 649-5116,630.9635062313688
jnEv25Y2DosTq2sNnvmC9g,los-tacos-no-1-new-york,Los Tacos No.1,https://s3-media2.fl.yelpcdn.com/bphoto/FU44TYl3PzXsE06G4W5aog/o.jpg,False,https://www.yelp.com/biz/los-tacos-no-1-new-york?adjust_creative=OJeUxoKF_oD4FLEYuIdDbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OJeUxoKF_oD4FLEYuIdDbg,2923,"[{'alias': 'tacos', 'title': 'Tacos'}]",4.5,"{'latitude': 40.7425547, 'longitude': -74.0060838}",[],$,"{'address1': '75 9th Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['75 9th Ave', 'New York, NY 10011']}",+12122560343,(212) 256-0343,3042.184635902337
j1S3NUrkB3BVT49n_e76NQ,best-bagel-and-coffee-new-york,Best Bagel & Coffee,https://s3-media2.fl.yelpcdn.com/bphoto/9-8DVzhwfzFS5GUCq3O6NA/o.jpg,False,https://www.yelp.com/biz/best-bagel-and-coffee-new-york?adjust_creative=OJeUxoKF_oD4FLEYuIdDbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OJeUxoKF_oD4FLEYuIdDbg,3256,"[{'alias': 'bagels', 'title': 'Bagels'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,"{'latitude': 40.7522683, 'longitude': -73.9910861}",[],$,"{'address1': '225 W 35th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10001', 'country': 'US', 'state': 'NY', 'display_address': ['225 W 35th St', 'New York, NY 10001']}",+12125644409,(212) 564-4409,1380.0635184654166
UA2M9QFZghe-9th2KwLoWQ,burger-and-lobster-new-york-4,Burger & Lobster,https://s3-media3.fl.yelpcdn.com/bphoto/1rHd7F4zztAsScwzM0vDmw/o.jpg,False,https://www.yelp.com/biz/burger-and-lobster-new-york-4?adjust_creative=OJeUxoKF_oD4FLEYuIdDbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OJeUxoKF_oD4FLEYuIdDbg,5417,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'newamerican', 'title': 'American (New)'}]",4.0,"{'latitude': 40.74007, 'longitude': -73.99344}","['delivery', 'restaurant_reservation', 'pickup']",$$,"{'address1': '39 W 19th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['39 W 19th St', 'New York, NY 10011']}",+16468337532,(646) 833-7532,2567.094727829794
