id,alias,name,url,review_count,rating,modified_category,cuisine,transactions,price,phone,display_phone,distance,Accepts Reservations?,Delivers?,Pickup service?,latitude,longitude,zipcode,have I been?
H4jJ7XB3CetIr1pg56CczQ,levain-bakery-new-york,Levain Bakery,https://www.yelp.com/biz/levain-bakery-new-york?adjust_creative=OJeUxoKF_oD4FLEYuIdDbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OJeUxoKF_oD4FLEYuIdDbg,7932,4.5,restaurant,bakery,[],2$,19174643769,(917) 464-3769,2198.507677,NaN,NaN,NaN,40.77994046, -73.980282552649},10023,no
xEnNFXtMLDF5kZDxfaCJgA,the-halal-guys-new-york-2,The Halal Guys,https://www.yelp.com/biz/the-halal-guys-new-york-2?adjust_creative=OJeUxoKF_oD4FLEYuIdDbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OJeUxoKF_oD4FLEYuIdDbg,9297,4,restaurant,halal,[],1$,,,196.2055994,NaN,NaN,NaN,40.761854, -73.979363},10019,yes
44SY464xDHbvOcjDzRbKkQ,ippudo-ny-new-york-7,Ippudo NY,https://www.yelp.com/biz/ippudo-ny-new-york-7?adjust_creative=OJeUxoKF_oD4FLEYuIdDbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OJeUxoKF_oD4FLEYuIdDbg,9949,4,restaurant,ramen,"['delivery', 'pickup']",2$,,,3402.912662,0,1,1,40.73092, -73.99015},10003,yes
V7lXZKBDzScDeGB8JmnzSA,katzs-delicatessen-new-york,Katz's Delicatessen,https://www.yelp.com/biz/katzs-delicatessen-new-york?adjust_creative=OJeUxoKF_oD4FLEYuIdDbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OJeUxoKF_oD4FLEYuIdDbg,12109,4,restaurant,delis,"['delivery', 'pickup']",2$,12122542246,(212) 254-2246,4289.43376,0,1,1,40.722237, -73.98743},10003,yes
jVncyqXwlx_D9f2xZn05tg,the-metropolitan-museum-of-art-new-york-3,The Metropolitan Museum of Art,https://www.yelp.com/biz/the-metropolitan-museum-of-art-new-york-3?adjust_creative=OJeUxoKF_oD4FLEYuIdDbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OJeUxoKF_oD4FLEYuIdDbg,2838,4.5,museum,museum,[],,12125357710,(212) 535-7710,2494.912991,NaN,NaN,NaN,40.779449, -73.963245},10028,yes
xOw4aafJRji9XomGunlvcQ,central-park-new-york,Central Park,https://www.yelp.com/biz/central-park-new-york?adjust_creative=OJeUxoKF_oD4FLEYuIdDbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OJeUxoKF_oD4FLEYuIdDbg,2402,5,park,park,[],,12123106600,(212) 310-6600,2697.302511,NaN,NaN,NaN,40.78241874, -73.9656022837641},10022,yes
WHRHK3S1mQc3PmhwsGRvbw,bibble-and-sip-new-york-2,Bibble & Sip,https://www.yelp.com/biz/bibble-and-sip-new-york-2?adjust_creative=OJeUxoKF_oD4FLEYuIdDbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OJeUxoKF_oD4FLEYuIdDbg,4747,4.5,restaurant,coffee shop,[],1$,16466495116,(646) 649-5116,630.9635062,NaN,NaN,NaN,40.76282, -73.98518},10019,yes
jnEv25Y2DosTq2sNnvmC9g,los-tacos-no-1-new-york,Los Tacos No.1,https://www.yelp.com/biz/los-tacos-no-1-new-york?adjust_creative=OJeUxoKF_oD4FLEYuIdDbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OJeUxoKF_oD4FLEYuIdDbg,2923,4.5,restaurant,mexican,[],1$,12122560343,(212) 256-0343,3042.184636,NaN,NaN,NaN,40.7425547, -74.0060838},10011,no
j1S3NUrkB3BVT49n_e76NQ,best-bagel-and-coffee-new-york,Best Bagel & Coffee,https://www.yelp.com/biz/best-bagel-and-coffee-new-york?adjust_creative=OJeUxoKF_oD4FLEYuIdDbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OJeUxoKF_oD4FLEYuIdDbg,3256,4.5,restaurant,bagel,[],1$,12125644409,(212) 564-4409,1380.063518,NaN,NaN,NaN,40.7522683, -73.9910861},10001,no
UA2M9QFZghe-9th2KwLoWQ,burger-and-lobster-new-york-4,Burger & Lobster,https://www.yelp.com/biz/burger-and-lobster-new-york-4?adjust_creative=OJeUxoKF_oD4FLEYuIdDbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OJeUxoKF_oD4FLEYuIdDbg,5417,4,restaurant,seafood,"['delivery', 'restaurant_reservation', 'pickup']",2$,16468337532,(646) 833-7532,2567.094728,1,1,1,40.74007, -73.99344},10011,yes
JION8hhg7q6zyayHYwhxIw,the-high-line-new-york,The High Line,https://www.yelp.com/biz/the-high-line-new-york?adjust_creative=OJeUxoKF_oD4FLEYuIdDbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OJeUxoKF_oD4FLEYuIdDbg,2329,4.5,park,park,[],,12122069922,(212) 206-9922,2605.992341,NaN,NaN,NaN,40.74798318, -74.0048906107511},10014,yes
veq1Bl1DW3UWMekZJUsG1Q,gramercy-tavern-new-york,Gramercy Tavern,https://www.yelp.com/biz/gramercy-tavern-new-york?adjust_creative=OJeUxoKF_oD4FLEYuIdDbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OJeUxoKF_oD4FLEYuIdDbg,2873,4.5,restaurant,american,[],4$,12124770777,(212) 477-0777,2552.166889,NaN,NaN,NaN,40.738527, -73.988417},10003,no
